title,author,country,n_pos_sents,n_neg_sents,n_neu_sents
Project fear: Misinformation spreads China virus panic,,PK,3,16,7
Chinese Citizens Using Makeshift Coronavirus Masks,iheart.com,US,2,1,3
"6,651 people held on cruise ship after passenger develops suspected coronavirus symptoms - Healthier Environment Living Program",James Sweeney,US,0,2,1
Report: Ex- Ham striker prevented from possible return; Moyes once called him 'unplayable',Olly Dawes,GB,1,6,2
"GPHA, MoH sensitise Tema Port operatives to coronavirus",,US,1,7,6
U.S. economy grew 2.1% in Q4 2019,maddiempj,CA,3,14,5
China reports 213 deaths from coronavirus; State Department warns against travel to China,Jaimy Lee,US,1,2,2
Dad's 'designer' swimming trunks begin to dissolve leaving him naked at water park,mirrornews@mirror.co.uk (Hannah Phillips),GB,1,10,2
Coronavirus confirmed in UK with two members of same family testing positive,"mirrornews@mirror.co.uk (Chris Kitching, Rosaleen Fenton)",GB,5,23,4
Coronavirus cases in Germany’s Bavaria up to 6 after child infected,ebere,US,2,15,5
"Chinese tourists cancel trips to Canadian hotspots such as Banff, Yellowknife",The Canadian Press,US,1,16,6
"The Scene From Wuhan, A City On Lockdown",editor,US,28,23,32
"Alpha, Eletrobras priced as Lat Am shrugs off coronavirus concerns",,US,0,2,3
Resilience360 Analysts Discuss Supply Chain Impacts of Coronavirus in New Podcast,MarketScreener,FR,4,3,6
Taylor Morrison and William Lyon Homes Stockholders Approve Stockholder Proposals Necessary to Complete Merger,,FR,0,9,6
"Chinese Authorities Say 9,692 People Infected With New Coronavirus Across Country",,PK,0,5,1
Three Japanese evacuated from Wuhan have new coronavirus,,PK,1,8,1
"227 Chinese stranded overseas set to arrive home on Friday night, Beijing says",,US,3,16,4
WATCH: WHO declares global health emergency over coronavirus | Die Pos,,ZA,1,3,0
"1st Person-To-Person Spread Of Coronavirus Has Occurred In U.S., CDC Says",Bill Chappell,US,3,16,12
Coronavirus: Need of the hour — more scrutiny and less panic | Editorials,gulfnews.com,AE,3,12,11
Japanese Market Advances,businessinsider.com,US,4,8,8
Global Markets Record Mixed Reactions in The Week,Wandiri Gitogo,US,3,6,3
Coronavirus: Health officials seek people in contact with UK’s first cases,,GB,1,13,7
"Amazon holiday sales jump as one-day shipping pays dividends, stock up 13%",Jeffrey Dastin and Akanksha Rana,US,7,14,8
China virus could create US jobs: commerce secretary,mb.com.ph,PH,1,6,3
"India bans export of protective masks, clothing amid",IndiaTimes,IN,0,4,0
The risk of infection via surfaces and the new Coronavirus,Claire Hibbit,AU,4,12,7
Thousands on virus lockdown at China-backed plant in Indonesia,,GB,2,10,1
Tokyo Olympic organisers playing down cancellation rumours,,GB,5,11,10
Checklist: What You Need to Know About Coronavirus,Weekly Sauce,US,1,10,7
"China says has full confidence, capability to control epidemic",CCTV.com,CN,4,3,4
Coronavirus outbreak: What we know so far,PA,US,6,13,10
Liberia: Health Authorities Seek U.S.$3 Million to Prevent Corona Virus,"Leroy Sonpon, III And J. Burgess Carter",NG,7,30,12
Timely words,Tempo Desk,PH,5,9,10
Hong Kong Threatened With Medical Strike Over Refusal to Shut Border,,IE,10,21,7
Britain lifts risk level from coronavirus to medium from low,Reuters,IN,1,2,5
"US advises no travel to China, where virus deaths top 200","Ken Moritsugu, The Associated Press",US,7,22,18
Flu bigger than coronavirus,,IN,4,3,5
Policymakers fret over risk to global growth from China virus outbreak,www.4-traders.com,FR,5,11,12
Hyderabad: Pharma companies worry about supply of Chinese APIs,DECCAN CHRONICLE. |,IN,1,12,12
,numpad0,US,1,1,1
"Gold inches down as WHO eases virus fears, but set for monthly gain",,ZA,7,10,6
World Expeditions cancels trips imminently departing to China,Norma Santoro,CA,1,5,3
FTSE 350: Shame and disease plague tourism,,GB,2,2,1
Coronavirus evacuee quarantined at March Air Reserve Base in Riverside County,Sandra Emerson,US,0,8,1
Wilbur Ross says Coronavirus could boost US jobs,,ZA,0,0,1
NOT REAL NEWS: A look at what didn’t happen this week,News Staff,CA,14,24,18
,Degromination86,US,5,0,1
Weekly Pricing Pulse: Coronavirus fears shake commodities,William May,US,4,7,3
"Hong Kong home prices slip in December as gloomy outlook weighs, Property News & Top Stories - The Straits Times",straitstimes.com,US,1,8,1
Government officials: Outbreak poses risk to economic growth,,US,0,1,1
The dangerous outbreak of the novel coronavirus in Wuhan market- China,,US,0,2,1
"China reports new cases, deaths as virus declared emergency",Associated Press,ZA,11,27,20
The government is preparing the island for virus evacuees,,AU,3,16,6
Facebook fights spread of misinformation about coronavirus online,": Associated Press, Scripps National",US,3,5,7
Rural Fire Service chief praises efforts of volunteer firefighters,,AU,0,2,2
Japan Business News: Tochigi city launches project to help potential residents open ramen shops,,US,2,6,3
WHO to reconsider declaring global emergency as China virus evacuations begin - SWI swissinfo.ch,Swi Swissinfo.Ch,CH,5,26,8
Virus Fears Spark Mask Queues and Empty Shelves in Hong Kong — Naharnet,Naharnet Newsdesk,US,5,14,2
WHO to Decide if Coronavirus Is Global Health Emergency,,US,15,15,16
Face Masks: What Doctors Say About Their Role In Containing Coronavirus,Maria Godoy,US,15,26,16
"Apple Takes Top Spot in Q4 2019 Worldwide Smartphone Market While Huawei Rises to Number 2 Globally for 2019, According to IDC",Business Wire,US,11,24,8
"Ontario dad misses milestone as daughter, stuck in China’s coronavirus epicentre, takes first steps",The Canadian Press,US,7,15,3
Health officials report first person-to-person spread of coronavirus in US,,US,4,19,7
Twitter to direct users to Government information on coronavirus,,GB,4,7,4
BHP shares hit the lowest amid coronavirus concerns,Ilaria Grasso Macola,US,1,7,3
Coronavirus: Technology giants join China shutdown,,US,0,0,1
Rush to prepare island for virus evacuees,AAP Newswire (aap@cognitives.io),AU,3,15,6
"Coronavirus will have 'minimal impact' on US economy, Larry Kudlow says | Fox Business",msn.com,US,13,21,9
Rooms found for travelers from Hubei,张洁,CN,3,17,3
"Deliberate fires in Shaftesbury, Newport: 'Someone will end up being killed'",,GB,5,10,9
Πομπέο: Τεράστια τα οφέλη από την προσέγγιση Λονδίνου και Ουάσινγκτον μετά το Brexit - [Zougla.gr],,GR,0,1,0
Daniel W. Drezner: Why Trump says all is well,Daniel W. Drezner The Washington Post,US,10,20,19
"Global efforts to contain coronavirus epidemic may not work, experts warn",Eoin Higgins,US,2,10,14
U.S. economy misses Trump's 3% growth target in 2019 By Reuters,,US,10,9,16
"Wary of irking China, Trump offers rosy take on virus threat",brooklyn.news12.com,US,11,24,8
Paris Shops Feel the Pinch as Virus Keeps Chinese Tourists Away,,US,4,11,4
"Your Questions About Wuhan Coronavirus, Answered",,US,13,40,29
U.S. economy grew modestly last quarter against a hazy outlook,Martin Crustinger,US,6,14,10
Coronavirus: Delayed UK evacuation flight will leave China on Friday,,IN,0,1,0
Mercato Roma : Pastore bloqué par le coronavirus,,FR,0,0,1
The Latest: India confirms 1st case of new virus from China,stamfordadvocate.com,US,21,51,41
News : Kenyan student in China explains the scourge of coronavirus,,KE,1,0,1
Coronavirus test wait for woman in Tas,,AU,2,1,2
How thousands of Australians may have been exposed to deadly coronavirus,ExpressDigest,US,14,63,15
17 arrested over Wuhan virus 'strike' as number of infections rises to 10 Hong Kong,Coconuts Hong Kong,,1,21,0
"US Fed keeps rates steady, flags 'uncertainties' from coronavirus outbreak News",Howard Schneider and Lindsay Dunsmuir | Reuters,IN,4,17,5
"Tesla Conference Call Warns Of Increased Expenses In 2020, Seasonal And Coronavirus Headwinds",Tyler Durden,US,7,22,6
Diageo tempers sales growth expectations amid trade uncertainties,,GB,4,11,3
Hennes & Mauritz : H&M reshuffles at the top as profit growth pleases market | MarketScreener,MarketScreener,FR,6,6,7
Rockhampton Hospital prepared for coronavirus threat,,AU,1,7,2
More Japanese evacuated from China virus epicentre as death toll climbs | News | 1330 & 101.5 WHBL,Midwest Communications Inc.,US,3,9,3
Coronavirus crisis threatens to hit tourism and airport retail sales,Globaldata Travel and Tourism,US,1,10,7
Sacramento Lunar New Year Celebration Postponed Due To Coronavirus Concerns,Good Day Sacramento,US,1,4,5
Chinese commodities exchanges delayed their re-opening dates,hellenicshippingnews..,US,0,4,1
Reports: Thousands of passengers kept aboard Italian cruise ship as 2 people tested for coronavirus,,US,6,43,18
"Mike Enriquez Coughs: “Excuse me po, Hindi po yun Coronavirus” Goes Viral",Frankiezt,PH,1,5,7
Three Japanese Returnees From Wuhan Test Positive for Coronavirus: NHK,,US,2,15,5
South African couple stuck in China due to coronavirus outbreak,,ZA,0,8,0
"Brisk sales of masks, retailers warned against escalating prices, Singapore",Osmond Chia,SG,3,9,3
"Visa, residence, duty: What a citizen changes through the Brexit for EU",,CA,16,34,27
Woman charged with DUI after crash with patrol car,,US,3,3,6
Swatch profits go backwards as Hong Kong protests bite,AFP,CA,3,8,3
"Emerging diseases in Missouri corn, soybeans",Samantha Athey,US,14,32,26
the OZ Minerals share price is outperforming today,Brendon Lau,AU,7,13,4
Virus-Hit German Firm Orders Work From Home,KOLAWOLE Mubaraq,ZA,4,21,3
"Microsoft cloud revenue regains momentum, sending profit above Street estimates",,SG,5,14,8
Flight full of Americans fleeing Wuhan coronavirus lands in California; passengers will be quarantined,"John Bacon, USA TODAY",US,6,18,6
GBP/JPY Price Forecast – British Pound Continues To Search For Stability,FX Empire,US,2,4,6
Shell reins in share buybacks after profit halves,Ron Bousso and Shadia Nasralla,US,3,12,7
Qantas flights so far unaffected by virus,Tracey Ferrier,AU,2,6,3
La valeur du jour à Wall Street - APPLE : résultats et niveau records en Bourse,zonebourse.com,FR,0,0,20
"Guevarra, BI to discuss steps to curb entry into PH amid nCoV threat",mb.com.ph,PH,0,2,2
Russia's first McDonald's scraps 30th anniversary giveaway due to coronavirus fears | News | WTVB,Midwest Communications Inc.,US,0,11,2
Renewed Coronavirus Concerns Lead To Weakness On Wall Street,,DE,1,5,2
Futures fall as China epidemic raises growth concerns | News | 1330 & 101.5 WHBL,Midwest Communications Inc.,US,0,4,13
Trump launches coronavirus task force as U.S. readies more Wuhan evacuations | News | WTAQ,Midwest Communications Inc.,US,0,5,4
Rupee Slips 19 Paise to 71.47 against US Dollar in Early Trade,PTI,IN,3,7,4
Korean Air announces new measures to prevent the spread of coronavirus,Paul Colston,GB,0,10,7
Coronavirus outbreak: 78 people who returned from China under ‘house quarantine’ in Tamil Nadu,FE Online,US,1,9,0
"Nigeria: Govt Confirms 41 People Killed, 258 Lassa Fever Cases",,NG,4,8,1
Fed chair sees China virus as possible risk to world economy,"Christopher Rugaber, The Associated Press",US,9,23,13
Coronavirus : बचाव के लिए मेडिकल कॉलेज अस्पतालों में भेजे जाएंगे मास्क,,IN,0,0,1
"India, 29 -- Crude oil futures traded higher on MCX as",htsyndication.com,IN,1,2,2
Asia stocks slide on widening Wuhan virus fallout; STI down 0.5%,mediabest,EU,2,4,9
"Worried About Catching The New Coronavirus? In The U.S., Flu Is A Bigger Threat",Allison Aubrey,US,8,20,9
,JOe,US,1,0,1
D. None of the Above: Top 10 Republican Solutions to the Bolton Problem,Daniel Dunaief,US,6,15,23
Congress stands ready to help with Coronavirus,Monica Miller,US,0,8,8
Coronavirus outbreak rattles the world,Ciaran Ryan,ZA,3,7,3
"Aviation faces risks from the Coronavirus, says S&P Global Ratings",editor,MY,7,4,1
VIDEO: Chinese Canadians warn against a repeat of the racism they faced during SARS,The Canadian Press,US,5,12,3
Stock marketplace news live: Stocks prune gains; Facebook tumbles on earnings,admin,DE,11,21,32
,Robert Simmons,US,0,1,0
"Family Worries About Man Stuck In Wuhan, China Because Of Coronavirus",,IN,0,2,2
Three reasons the coronavirus outbreak may hit financial markets harder than Sars did in 2003,Nicholas Spiro,HK,5,17,7
"Coronavirus cases could be grossly underestimated, say some scientists",,ZA,2,14,4
Commerce secretary: China virus could bring jobs back to US,Paul Wiseman,US,6,15,12
"Bloomberg, Trump Detail Campaign Ads to Air on Super Bowl",Jill Colvin,US,9,18,10
"coronavirus: China virus injects fears for global supply chains,",ET Retail,IN,4,18,7
Coronavirus warning: UK threat increases as chief medical officers urge Government action,,GB,1,5,8
"ISRG Stock: Surgical Robotics Shares Slip On Decelerating Sales, Earnings | Investor's Business Daily",ALLISON GATLIN,US,11,7,15
"Ontario dad misses milestone as daughter, stuck in China’s coronavirus epicentre, takes first steps",The Canadian Press,US,7,15,3
China Beige Book CEO: Throw China growth in the trash can | On Air Videos,foxnews.com,US,0,1,0
"Lagos Govt, Chinese Embassy Agree To Quarantine Returning Chinese Citizens",Soonest Nathaniel,US,1,3,1
"Euro zone business starts year upbeat, coronavirus may sour mood",MarketScreener,FR,3,9,4
China confident Olympic qualifiers will go ahead as scheduled,Dominic Bossi,AU,3,11,2
Thomas Cook India net slips 19% to ₹9.9 crore,Our Bureau,IN,1,3,2
"US economic growth slowed in 2019, hit by trade wars",,GB,1,14,4
"Passenger on flight from Beijing evaluated at Logan; refused hospitalization, Boston EMS says",Admin,US,7,25,3
Hong Kong Box Office Slumps 30% Over Virus-Hit Chinese New Year Holiday,Hernan Porras Molina,VE,8,4,4
How well new China virus spreads is focus of control efforts,News Staff,CA,15,23,14
"Wuhan virus: British Airways escalates response with one-month China ban, Europe",straitstimes.com,SG,0,8,5
Coronavirus: Chinese airline first to make changes to NZ flights,Dan Lake,NZ,0,1,4
Coronavirus: No screenings at El Paso International Airport,,US,2,6,3
"Chips Boost South Korea's December Factory Output, Full-Year Worst Since 1998",,US,1,5,11
Sanford Health Temporarily Isolates Patient On Novel Coronavirus Fears,TJ Nelson,US,1,1,2
The Jack Ma Foundation is Donating CNY100 Million to Accelerate a Vaccine for Coronavirus,Fang Block,US,0,8,5
WHO Declares Coronavirus Outbreak A Global Health Emergency,Merrit Kennedy,US,6,23,14
300 Million Chickens Are at ‘Edge of Death’ on Hubei Lockdown - BNN Bloomberg,Alfred Cang,CA,3,5,2
Starbucks closes half its China stores during virus outbreak - BNN Bloomberg,Leslie Patton,CA,3,13,5
Hong Kong Airlines to cut hundreds of jobs as its finances worsen amid coronavirus outbreak,,US,3,17,9
Flight Attendants Call for Responsible Halt to China Flights,Association of Flight Attendants,US,1,8,4
"Tourism future concerns for Christmas Island, with new negative image",Rebecca Parish,AU,6,16,5
"Bats a breeding ground for viruses, but unlikely cause for concern in Canada",The Canadian Press,US,9,14,13
"Oil Prices Drop Again, Set for Weakest Month Since May on Virus Hit By Investing.com",investing.com,AU,6,8,3
First Canadian coronavirus patient discharged from hospital,The Canadian Press,US,0,8,2
"Samal island temporarily bans entry of Chinese, other Asian foreigners",mb.com.ph,PH,4,10,2
Tourism Ministry observes decline in Chinese tourists,ft.lk,LK,1,4,3
GDP to grow at 6 to 6.5 pc in next fiscal 2020-21: Economic Survey,,IE,1,2,6
India's balance of payments position improves to USD 433.7 billion,,IE,1,14,4
"Friday, 31st January",Cornel Spiru,RO,2,12,6
Aussie in Wuhan supports evacuation option,Michael Doyle,AU,1,14,4
"From Paris to Arizona, Iowans Will Caucus Around the Globe",Jonathan J. Cooper,US,10,19,8
IIUI Crisis Management Committee discusses Coronavirus precautionary measures,User2,US,1,3,1
Coronavirus outbreak: Face masks sold out | News-photos,gulfnews.com,AE,2,10,8
UK Confirms First Cases of Coronavirus as Outbreak Spreads,Hamza Guessous,MA,1,8,8
"China to work with WHO to safeguard regional, global public health security: Hua Chunying | Associated Press Of Pakistan",,PK,1,3,1
"Sensex up 180 points, Nifty opens above 12,000; Yes Bank, IndusInd Bank, Britannia, Tata Motors gain",,SG,9,11,8
American Airlines pilots sue to halt flights to China,Seattle Times,US,1,1,1
Schiff offers to limit time spent on impeachment witnesses,Jordain Carney,US,0,9,7
CDC: First Person-to-Person Spread of Novel Coronavirus in US,,US,4,11,12
Pakistan Bans China Flights Till Feb. 2,Newsweek Pakistan,US,2,5,5
Seafood relief as UK and Norway strike deal,Vince McDonagh,GB,3,7,3
Coronavirus: 10-year-old boy raises fears Wuhan virus could spread undetected,,NO,2,12,1
Corona Trusts Customers to Know It's Not a Deadly Virus,Newser — Bob Cronin,US,0,4,5
"Chinese tourists cancel trips to Canadian hotspots such as Banff, Yellowknife",News Staff,CA,2,17,8
"Electrolux warns Chinese virus outbreak will hamper sourcing, Consumer - THE BUSINESS TIMES",,SG,0,5,1
First Coronavirus cases confirmed in England,,GB,1,5,1
Chinese Basketball Association prepares for indefinite hiatus due to coronavirus - SupChina,Gerry Harker,US,11,21,23
Consumer Cos Down As Coronavirus Fears Weigh -- Consumer Roundup,MarketScreener,FR,2,3,3
"China reports new cases, deaths as virus declared emergency",,GB,2,10,6
Wuhan virus: Pofma exemptions lifted amid spread of fake news - The Straits Times,,US,0,6,3
WHO Declares Coronavirus Outbreak As Global Emergency,Syahrul Ramadan,MY,5,13,5
The World Health Organisation just declared the coronavirus outbreak a global health emergency because it could spread to countries that aren't prepared,Hilary Brueck,ZA,3,22,11
Coronavirus: Briton in 'frantic' dash to get family on Wuhan evacuation flight | UK,news.sky.com,US,2,20,3
Police Arrest 3 Girls for Spokane-To-Bellevue Crime Spree,Associated Press,US,8,11,5
BC Ferries takes extra measures to clean vessels following Vancouver coronavirus case,Nicole Crescenzi,US,2,9,1
"Wall Street drops as virus outbreak, data stoke growth worry",,ZA,4,9,7
Bullish Betting Suggests Stock Market Storm May Have Passed | Investing.com CA,investing.com,CA,0,15,13
Luckin Coffee Stock Dives As Short-Sellers Battle Over Allegations|,BILL PETERS,US,8,16,10
#Showbiz: Taeyeon and NCT Dream S'pore concerts postponed,Aref Omar,US,3,5,3
"Markets Plummet, Dow Drops Over 600 Points As Coronavirus Infections Outpace SARS",Sergei Klebnikov,US,3,13,4
Britain Confirms First Coronavirus Cases As Outbreak Spreads Globally,Isabel Togoh,US,1,10,7
"Breaking: Africa in trouble, as Coronavirus hits Botswana",Kazeem Ugbodaga,US,1,2,3
Facebook working to provide helpful coronavirus information,News Staff,CA,4,20,19
Corona virus quarantine,,US,1,0,4
Person With Suspected New Coronavirus Hospitalized in Greece's Thessaloniki - Reports,,PK,0,3,4
"Deadliest day for China in virus fight, as global fears mount",,PK,3,7,3
Egyptair to suspend all China flights over coronavirus,,US,2,8,8
Facebook to remove posts promoting fake coronavirus cures,,GB,0,7,4
WHO declares global health emergency over coronavirus: 4 questions answered,greenwichtime.com,US,7,16,14
Dead man lies on an empty street at China’s virus ground zero | AFP | Comaro Chronicle,Review Online,ZA,6,16,6
"Nifty, Sensex rise as banks gain, all eyes on budget",,GB,2,10,5
WHO declares Coronavirus a global emergency,Peters Okwudili,US,1,1,7
Symptoms and Diagnosis - Corona Virus,Dr. Jeck Smith,US,2,7,4
GSMA Issues Updated Statement of Coronavirus,businesswire.com,US,2,9,7
"Plague Big Opportunity, Rat Says",Tom McKay,,4,14,3
Assam eyes Central scheme & devolution of funds ahead of Budget - EastMojo,EastMojo,IN,1,2,3
"Coronavirus has now infected almost 10,000, including three in Canada",The Canadian Press,US,1,7,0
,Colin Oscopy,US,1,3,1
BC Ferries takes extra measures to clean vessels following Vancouver coronavirus case,Nicole Crescenzi,US,3,8,1
coronavirus update,,IN,1,2,2
'I feel so lucky': Passengers return from China on last direct flights before Air Canada travel ban,News Staff,CA,1,17,6
Instagram influencers are exploiting coronavirus hashtag,Hannah Sparks,US,7,10,2
Fed’s Clarida says he is not worried by inverted U.S. yield curve,"Greg Robb, Sunny Oh",US,4,11,1
Coronavirus: Countries Evacuate Citizens From China,AFP,UG,7,24,11
Patient goes walkabout while being tested for coronavirus,,MY,0,7,2
,Steven Padgett,US,0,1,0
Chinese Carmaker SAIC's India Unit Warns Of Sales Hit Due To Coronavirus Outbreak,,IN,1,2,1
China to Australia flights: Coronavirus fears spark calls for flight ban,couriermail.com.au,AU,6,36,17
China death toll from virus rises to 213,AAP Newswire (aap@cognitives.io),AU,0,1,2
WHO declares international emergency over coronavirus,Guardian Nigeria,GB,0,1,3
Q4 GDP Growth Steady,peter.c.rupert,US,5,1,3
Coronavirus: 2020 World Athletics Indoor Championships postponed in China,,GB,0,1,0
Coronavirus outbreak spurs Delta Air Lines to stop all US-China flights for THREE months,Danielle Cinone,GB,1,9,13
Opposition senators slam govt for not evacuating Pakistanis stranded in Wuhan,,PK,4,18,9
Japan urges citizens not to travel to China because of virus,"Mari Yamaguchi, The Associated Press",US,1,5,6
Friday Morning Links,sloopyinca,US,11,12,11
B.C. mom says parents pressured her to keep child at home due to coronavirus fears,Matthew Claxton,US,1,13,1
"Nurse says coronavirus quarantine failing, ""everyone will get infected""",Ethan Huff,US,1,17,3
"Over the Last 7 Days, Coronavirus Infections Have Increased 1000% ... What Happens Next?",Mike Adams,US,0,0,0
Coronavirus: M’sia sends 18 million medical gloves to China,,MY,4,4,2
University of California complement suspends all non-essential transport to China – The San Diego Union,admin,DE,3,12,7
B.C. mom says parents pressured her to keep child at home due to coronavirus fears,Matthew Claxton,US,1,13,1
"Chinese tourists cancel trips to Canadian hotspots such as Banff, Yellowknife",The Canadian Press,US,1,16,6
Ontario to announce third case of coronavirus,The Canadian Press,US,2,12,3
Google launches SOS Alerts for coronavirus,,IE,5,4,0
Why The Wuhan Coronavirus May Pose More Risks To Aviation Than SARS Did,Oliver Wyman,US,10,23,5
State Department warns Americans not to travel to China,Ben Feuerherd,US,0,4,5
Capitals' Ovechkin aims for another milestone vs. Senators,,US,14,30,16
What's News: World-Wide -- WSJ,MarketScreener,FR,4,3,3
Wuhan evacuation plan: New Zealanders to be charged $500,stuff.co.nz,NZ,3,10,5
"7,000 People Trapped on Mediterranean Cruise in Italy Over Suspected Coronavirus Case",The Daily Beast,US,6,21,4
Brazilian health experts say China's response to coronavirus outbreak 'swift',,CN,5,6,0
Coronavirus. A Roma i turisti cinesi non possono entrare nel bar,Maurizio Zini - EasyNews,US,0,2,2
Pilots sue American Airlines to Stop China flights amid coronavirus outbreak,admin,CO,0,4,2
"U.S. advises no travel to China, where virus deaths top 200",,US,14,26,17
Kerala: Coronavirus patient shifted to Thrissur medical college,,IN,1,7,4
WHO declares novel coronavirus outbreak a global public health emergency,Beatrice,SG,3,10,6
"Exxon Mobil Misses Q4 Earnings Forecast, Beats on Revenues",Martin Baccardax,US,4,3,3
World Health Organisation declares coronavirus a global health emergency,,AU,7,18,9
China to send charter flights to bring back overseas citizens from virus-hit Wuhan,PTI,IN,0,2,1
St. Louis Boy Shoots Himself After Finding Gun in Street,Associated Press,US,7,12,3
"Advocates: $1.3 million coming to house Connecticut domestic violence, trafficking victims",courant.com,US,5,8,12
"The Drive Thru: Coronavirus, Kobe Bryant resale, and Lowe's pay cuts - Business Insider",Shoshy Ciment,US,16,12,21
First Coronavirus cases confirmed in England,,GB,1,5,1
DFA to repatriate Pinoys from nCoV-hit China next week,Colleene Singca,US,1,4,7
American Airlines pilots sue to halt flights to China,The Associated Press — By DAVID KOENIG - AP Airlines Writer,US,0,7,6
S. Korea ready to take action against economic fallout from new coronavirus,The Korea Herald,KR,1,4,4
"New Delhi, 29 -- In a fresh travel advisory in back",Sarkaritel,IN,1,2,2
,Infantry Economist,US,1,0,4
,sliken,US,2,2,0
WHO Declares Coronavirus Outbreak A Global Health Emergency,Merrit Kennedy,US,6,28,22
"The coronavirus is disrupting the global supply chain, starting with these commodities",Bernhard Warner,US,18,13,22
Moody’s downgrades Nayara Energy’s rating to negative,Team Energyinfrapost,US,0,6,3
"Sens. Cruz, Gardner, Colleagues Demand World Health Organization Give Taiwan Critical Coronavirus Information",,US,5,18,7
"Azerbaijan cuts rate 13th time, inflation seen in target",contributors,US,4,14,6
Marriage Story’s gently funny take on love and divorce has won plaudits. Will it win Best Picture?,Alissa Wilkinson,US,70,103,46
Sudan: Two Suspected Cases of Coronavirus in Sudan,,US,4,5,1
"Air New Zealand (OTCMKTS:ANZFF) Earning Critical Press Coverage, InfoTrie Reports",ABMN Staff,US,0,2,4
Virus fears for Chinese couple: Thousands held on liner in Italy,,PK,4,28,5
WHO meets again to discuss Wuhan coronavirus,Newsroom Staff,US,0,3,3
Public utility drivers told to wear face masks vs coronavirus,ABS-CBN News,PH,2,6,3
Wipro shares slip over 2% as MD and CEO Abidali Neemuchwala resigns | Business,Debashish Pachal,IN,0,13,4
PM: Cambodians will not be evacuated from China,Khorn Savi,MM,5,11,17
"Facebook posts claiming coronavirus in Pattaya ‘fake news’, Banglamung says",Boonlua Chatree,US,1,5,1
PM to be targeted in Opposition onslaught in censure debate,Tanadatet,US,1,11,1
World Shares Struggle For Footing After Virus-Battered Week,,IN,5,23,9
World Snooker Tour confirm China Open postponed due to coronavirus,,IT,0,4,4
Ghent calls on public to report abandoned bikes,,BE,1,11,5
New Chinese ambassador wearing mask arrives in Seoul,,US,2,6,3
"In The News podcast | Over 10,000 coronavirus infections in China; Nirbhaya convicts won’t hang on Feb 1; Britain exits EU",,IN,2,2,3
Education abroad trip for summer 2020 is canceled due to coronavirus outbreak,"Sonia Garcia, Managing Editor",US,3,5,9
"1st Person-To-Person Spread Of Coronavirus Has Occurred In U.S., CDC Says",Bill Chappell,US,1,11,11
Flying and worried about contracting the coronavirus? Sit near a window! | Steve & Gina's Page,iheart.com,US,0,3,2
US Consumer Spending Slows to 0.3% Gain in December as Auto Sales Weaken | U.S. News® | US News,,US,5,4,7
Commodity Traders Weigh Extended China Shutdown as Virus Spreads By Bloomberg,investing.com,AU,7,16,10
AFP Fact Check: Coronavirus — Pakistani officials deny they issued warning over dangers of eating goat meat - Pakistan - DAWN.COM,,US,0,14,8
Economic Survey 2020 bets on 'invisible hand' to help India achieve $5 trillion economy by 2025,Annapurna Singh,US,0,13,4
"Economic slowdown bottomed out, uptick from here onwards: Subramanian",,IN,1,17,4
TSX falls as coronavirus fears hit oil prices - The Journal Pioneer,,US,4,6,4
Morning Headlines: Flu Causes NE Ohio Schools to Close; Pro Football Hall of Fame Focuses on Health,,US,6,16,9
"Area hospitals, businesses prepare for coronavirus","Larry Rulison, Rick Karlin and Eric Anderson",US,10,26,9
DOH reveals flight details of country’s first nCoV case,postie,PH,1,3,2
First Canadian coronavirus patient discharged from hospital,The Canadian Press,US,1,7,2
Australia's largest university postpones classes for a fortnight over coronavirus,,AU,3,10,3
Mixed reviews for airline that operated evacuation flight from China to UK,,GB,2,7,1
Matches at Olympic tournament delayed due to China virus,stamfordadvocate.com,US,2,6,11
Pakistan halts China flights amid coronavirus outbreak,,US,1,5,3
Hardest Rap Bar I Heard So Far,OPBADAZZ337,US,2,0,0
Tokyo Olympics: IOC teams up with WHO over virus outbreak,mainichi.jp,JP,0,8,2
"UAB, Jefferson County Health Department monitoring new coronavirus",,US,19,21,11
Gold Prices Ease But Remain At High Levels As WHO Declares Coronavirus A Global Health Emergency - Goodreturns,Olga Robert,IN,1,10,4
"Samal Island bars entry of Chinese, other foreign tourists from coronavirus-hit countries",,US,9,9,7
Contained CSIRO lab to tackle coronavirus,,AU,2,9,4
Stocks - Wall Street Pares Early Losses After Steady GDP Report,Investing.com,US,4,12,4
Filipino airlines cut China flights; China suspends flights to Boracay gateway,ABS-CBN News,PH,0,8,5
"Around 7,000 people held on cruise ship at Italian port over coronavirus fears",KSFY,US,2,3,4
Will intervene against the violent salaries for senior doctors,,US,4,18,10
CalTech scores massive $1.1B verdict against Apple and Broadcom in patent case | Ruth C. Greene – Bookkeeper,,US,2,3,3
Kenya: Isolated Student to Wait Longer for Coronavirus Results,AllAfrica News: Health and Medicine,DE,0,5,2
Base metals’ reaction suggests Wuhan virus may differ to SARS outbreak,William Adams,IE,5,29,8
Namibia: Coronavirus - China Suspends Travel,Arlana Shikongo,NG,5,19,12
The Coronavirus,Eda Galeno,US,11,39,53
"Foreigners protected amid outbreak, says Wang Yi to Japanese minister - World",杜娟,CN,3,6,1
Telangana hospitals face a logistical nightmare,DECCAN CHRONICLE. |,IN,0,14,4
"U.S. readiness for a viral outbreak better, but needs improvement",,US,0,5,0
Factbox: Airlines Suspend China Flights Due to Coronavirus | World News | US News,,US,2,29,14
